Genus,Species,Phylum,Class,Order,Family,spp,thermy,demers_pelag,demers_pelag_fb,mobility
Sardinops,melanosticta,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sardinops melanosticta,ectotherm,pelagic,pelagic-neritic,swim
Clinocottus,globiceps,Chordata,Actinopteri,Perciformes,Cottidae,Clinocottus globiceps,ectotherm,demersal,demersal,swim
Leptocottus,armatus,Chordata,Actinopteri,Perciformes,Cottidae,Leptocottus armatus,ectotherm,demersal,demersal,swim
Myoxocephalus,quadricornis_hexacornis,Chordata,Actinopteri,Perciformes,Cottidae,Myoxocephalus quadricornis_hexacornis,ectotherm,demersal,demersal,swim
Crangon,crangon,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon crangon,ectotherm,demersal,benthic,swim
Cyprinodon,dearborni,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,Cyprinodon dearborni,ectotherm,demersal,benthopelagic,swim
Cyprinodon,variegatus,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,Cyprinodon variegatus,ectotherm,demersal,benthopelagic,swim
Floridichthys,carpio,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,Floridichthys carpio,ectotherm,demersal,benthopelagic,swim
Dasyatis,sabina,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,Dasyatis sabina,ectotherm,demersal,demersal,swim
Donax,serra,Mollusca,Bivalvia,Veneroida,Donacidae,Donax serra,ectotherm,demersal,benthic,sessile
Donax,sordidus,Mollusca,Bivalvia,Veneroida,Donacidae,Donax sordidus,ectotherm,demersal,benthic,sessile
Sterechinus,neumayeri,Echinodermata,Echinoidea,Echinoida,Echinidae,Sterechinus neumayeri,ectotherm,demersal,benthic,crawl
