class,order,family,genus,genus,lvl_dvp,hbt,lat,lat_n,lat_s,length_avg,width_avg,length_max,width_max,fecundity,weight_avg,weight_max
gastropoda,neogastropoda,buccinidae,volutopsius,fragilis,planktotrophic ,benthic,NA,NA,NA,100,NA,130,NA,NA,NA,NA
bivalvia,arcida,arcidae,aNAdara,secernenda,planktotrophic ,benthic,50.2,32.21,-17.9961,NA,NA,220,NA,NA,NA,NA
malacostra,decapoda,peNAeidae,litopeNAeus,setiferus,lecithotrophic,benthic,63.275,39.342,-23.93300056,NA,NA,200,NA,1000000,NA,NA
malacostraca,decapoda,peNAeidae,parapeNAeus,politus,lecithotrophic,benthic,31.056,40.09999847,9.04316667,NA,NA,NA,NA,NA,NA,NA
malacostraca,decapoda,peNAeidae,rimapeNAeus,constrictus,lecithotrophic,benthic,69.561,38.71884918,-30.8416996,80,NA,90,NA,NA,NA,NA
malacostraca,decapoda,sicyoniidae,sicyonia,burkenroadi  ,lecithotrophic,benthic,43.267,30.25043488,-13.0170002,NA,NA,NA,NA,NA,NA,NA
malacostraca,decapoda,sicyoniidae,sicyonia,dorsalis,lecithotrophic,benthic,60.983,33.73329926,-27.25,NA,NA,70,NA,NA,NA,NA
malacostraca,stomatopoda,squillidae,squilla,chydaea,planktotrophic,benthic,21.736,30.25043488,8.513683319,150,NA,200,NA,NA,NA,NA
gastropoda,neogastropoda,volutidae,arctomelon,stearnsii,NA,benthic,7.027,61,54,115,NA,160,NA,NA,NA,NA
echinoidea,spatangoida,schizasteridae,brisaster,latifrons,NA,benthic,35.434,59,24,NA,NA,NA,NA,NA,NA,NA
asteroidea,paxillosida,ctenodiscidae ,ctenodiscus,crispatus,NA,benthic,117.116,81,NA,NA,NA,NA,NA,NA,NA,NA
malacostraca,decapoda,paguridae,labidochirus,splendescens,NA,benthic,23.742,71.900383,48.15832901,NA,NA,NA,NA,NA,NA,NA
malacostraca,decapoda,lithodidae,lopholithodes,foraminatus,planktotrophic ,benthic,23.49,60.13000107,36.6444397,NA,NA,NA,NA,NA,NA,NA
malacostraca,decapoda,paguridae,pagurus,brandti,planktotrophic,benthic,45.261,71.6757431,26.41530037,NA,NA,NA,NA,NA,NA,NA
malacostraca,decapoda,paguridae,pagurus,ochotensis,planktotrophic,benthic,26.583,58.58332825,32,NA,NA,50,NA,NA,NA,NA
malacostraca,decapoda,pandalidae,pandalus,jordani,planktotrophic,benthic,27.09,59.795,32.7052,NA,NA,30,NA,3000,NA,NA
asteroidea,forcipulatida,asteriidae,stylasterias,forreri,planktotrophic,benthic,22,55,33,NA,NA,500,NA,NA,NA,NA
malacostraca,decapoda,cancridae,cancer,borealis,NA,benthic,35.957,48.08333,12.1259,NA,NA,160,NA,NA,NA,NA
malacostraca,decapoda,crangonidae,crangon,septemspinosa,planktotrophic,benthic,25.27,57.24,31.96999931,NA,NA,70,NA,NA,NA,NA
merostomata,xiphosurida,limulidae,limulus,polyphemus,NA,benthic,23.78,44.58,20.8,NA,NA,600,NA,10000,NA,1.8
malacostraca,decapoda,pandalidae,pandalus,montagui,planktotrophic,benthic,69.85,74.64908833,4.800000191,160,NA,190,NA,1600,NA,NA
bivalvia,pectinida,pectinidae,placopecten,magellanicus,NA,benthic,106.2972,65.009,-41.2882,NA,NA,200,NA,95000000,NA,NA
malacostraca,decapoda,oregoniidae,hyas,araneus,planktotrophic,benthic,40.1085,78.96175,38.8533287,NA,NA,120,NA,NA,NA,NA
malacostraca,decapoda,crangonidae,sabinea,septemcarinata,planktotrophic,benthic,37.71,80,42.29999924,NA,NA,NA,NA,NA,NA,NA
malacostraca,decapoda,calappidae,calappa,flammea,NA,benthic,30.32,41.52000046,11.1965,NA,NA,NA,NA,NA,NA,NA
malacostraca,decapoda,paguridae,pagurus,pollicaris,NA,benthic,23.706,41.91699982,18.21105766,NA,NA,50,NA,NA,NA,NA
malacostraca,decapoda,pilumnidae,pilumnus,sayi,NA,benthic,26.486,35.34167099,8.85616667,NA,NA,NA,NA,NA,NA,NA
malacostraca,decapoda,peNAeidae,xiphopeNAeus,kroyeri,lecithotrophic,benthic,63.339,35.20600128,-28.0333,NA,NA,115,NA,NA,NA,NA
malacostraca,decapoda,cancridae,metacarcinus,magister,planktotrophic,benthic,22.928,60.695,37.76699829,NA,NA,225,NA,2500000,NA,NA
malacostraca,decapoda,pandalidae,pandalus,platyceros,planktotrophic,benthic,26.715,60.2317,33.51699829,NA,NA,300,NA,5000,NA,NA
asteroidea,forcipulatida,asteriidae,pisaster,brevispinus,planktotrophic,benthic,20.754,54.29999924,33.5454,NA,NA,600,NA,40000000,NA,NA
malacostraca,decapoda,cheiragonidae,erimacrus,isenbeckii,NA,benthic,28.0034,66.5533,38.54999924,NA,NA,NA,NA,NA,NA,NA
malacostraca,decapoda,pandalidae,pandalus,borealis,planktotrophic,benthopelagic,44.94,80.62333333,35.68333435,20,NA,30,NA,2750,NA,NA
malacostraca,decapoda,pandalidae,pandalopsis,dispar,planktotrophic,benthopelagic,13.103,56.9073,43.8041,200,NA,NA,NA,NA,NA,NA
malacostraca,decapoda,portunidae,callinectes,sapidus,planktotrophic,benthopelagic,93.297,55.296138,-38.009998,NA,NA,227,NA,NA,NA,NA
cephalopoda,myopsida,loliginidae,doryteuthis ,pealeii,direct,benthopelagic,56.48,48.48042,-8,NA,NA,500,NA,NA,NA,NA
