#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2020,1,1,16,50,291,13.1,16.5,99,99,99,999,1008,4.6,10.3,0.5,99,99
2020,1,1,17,0,286,13.3,16.6,99,99,99,999,1007.9,4.7,10.3,-0.4,99,99
2020,1,1,17,10,286,12.6,16.4,99,99,99,999,1007.9,5.2,10.3,-0.2,99,99
2020,1,1,17,20,294,13.3,16.9,99,99,99,999,1007.8,5.4,10.3,-0.6,99,99
2020,1,1,17,30,285,13.2,16.7,99,99,99,999,1007.7,5.4,10.3,-1,99,99
2020,1,1,17,40,289,13.5,16.7,2.51,7.69,5.55,308,1007.6,5.4,10.3,-1.1,99,99
2020,1,1,17,50,288,13.5,16.8,99,99,99,999,1007.6,5.5,10.3,-1.2,99,99
2020,1,1,18,0,291,13.7,17.7,99,99,99,999,1007.6,5.6,10.3,-0.6,99,99
2020,1,1,18,10,295,14.2,18,99,99,99,999,1007.5,5.4,10.3,-0.9,99,99
2020,1,1,18,20,293,13.8,18.1,99,99,99,999,1007.6,5.4,10.3,-0.9,99,99
2020,1,1,18,30,296,14.1,19.1,99,99,99,999,1007.6,5.4,999,-0.9,99,99
2020,1,1,18,40,294,14.1,18,3.03,7.14,5.81,298,1007.6,5.3,10.3,-0.9,99,99
2020,1,1,18,50,290,14.5,18.6,99,99,99,999,1007.7,5.2,10.3,-1.4,99,99
2020,1,1,19,0,288,13.6,17.4,99,99,99,999,1007.9,5.3,10.3,-1.5,99,99
2020,1,1,19,10,288,13.7,17.1,99,99,99,999,1007.8,5.3,10.3,-1.5,99,99
2020,1,1,19,20,286,13.2,17,99,99,99,999,1007.8,5.2,10.3,-1.5,99,99
2020,1,1,19,30,289,13.5,16.8,99,99,99,999,1008,5.3,10.3,-1.2,99,99
2020,1,1,19,40,290,12.8,16.8,3.18,7.69,5.91,300,1008.1,5.2,10.3,-1.4,99,99
2020,1,1,19,50,296,12.7,16.3,99,99,99,999,1008.4,5.3,10.3,-2,99,99
2020,1,1,20,0,291,12.3,15.9,99,99,99,999,1008.6,5.3,10.3,-2.4,99,99
