"","variable","coef","p_value","AICc","deltaAICc","rel_likelihood","akaike_weight"
"36","seas_sst_temp_change_scaled",-0.0630748488967121,0.0802900291386193,6424.13377643562,17.5135145673994,0.000157394166593571,0.000113280411847963
"37","max_sst_temp_change_lag1_scaled",-0.0229461668414861,0.573359519509691,6426.92419133399,20.303929465771,3.89993829838962e-05,2.80688049744575e-05
"38","max_sst_temp_change_lag2_scaled",0.0355995643625395,0.297009129780429,6426.13873574391,19.5184738756943,5.77586787858706e-05,4.15703266662546e-05
"39","max_sst_temp_change_lag3_scaled",0.0196604956435532,0.567287627120792,6426.91611745141,20.2958555831874,3.91571394159015e-05,2.81823461175379e-05
"40","max_sst_temp_change_lag4_scaled",0.0106087401707895,0.767712581453591,6427.1570033155,20.5367414472857,3.47138878921064e-05,2.49844298703664e-05
"41","max_sst_temp_change_lag5_scaled",0.00713111683714143,0.835201432753102,6427.2032263504,20.5829644821824,3.39207973311731e-05,2.44136232939877e-05
"42","max_sst_temp_change_lag6_scaled",-1.68819346586975e-05,0.999616424507653,6427.24793039816,20.6276685299408,3.31710097113255e-05,2.38739828980754e-05
"43","max_sst_temp_change_lag7_scaled",0.0299926320668218,0.381449866398878,6426.46495851246,19.8446966442452,4.90657990880858e-05,3.53138496085459e-05
"44","max_sst_temp_change_lag8_scaled",-0.012921399539722,0.707710702525257,6427.10482274462,20.484560876399,3.56315014850753e-05,2.56448587031403e-05
"45","max_sst_temp_change_lag9_scaled",0.0620595006102422,0.116251258249583,6424.75237231951,18.1321104512872,0.000115521346644839,8.31435243654912e-05
"46","min_sst_temp_change_lag1_scaled",-0.0485861093319123,0.176073358270563,6425.37178194576,18.7515200775415,8.47537945910156e-05,6.09993684311049e-05
"47","min_sst_temp_change_lag2_scaled",0.0400740201329965,0.269183245824118,6426.00182181941,19.3815599511927,6.18511432168608e-05,4.45157729064118e-05
"48","min_sst_temp_change_lag3_scaled",-0.0056099747175679,0.878668025383207,6427.22298966855,20.6027278003303,3.35872542699634e-05,2.4173564236142e-05
"49","min_sst_temp_change_lag4_scaled",-0.0159644808128318,0.672176400413315,6427.06708486043,20.4468229922149,3.63102133738204e-05,2.61333441657667e-05
"50","min_sst_temp_change_lag5_scaled",0.0362868162429278,0.318122078181726,6426.2294181063,19.6091562380852,5.519831563295e-05,3.97275709992536e-05
"51","min_sst_temp_change_lag6_scaled",0.0688744446609273,0.0647754579360284,6423.79166282236,17.1714009541456,0.00018675733136597,0.000134413796080469
"52","min_sst_temp_change_lag7_scaled",-0.0581304422967606,0.115890650858513,6424.71963091061,18.0993690423929,0.000117428077145387,8.45158447065798e-05
"53","min_sst_temp_change_lag8_scaled",0.0877466913978399,0.0154770749738711,6421.28704526996,14.6667834017426,0.000653353844099152,0.000470234660812551
"54","min_sst_temp_change_lag9_scaled",-0.0698783740482042,0.0530010199013514,6423.40073300345,16.7804711352346,0.000227073780828217,0.000163430525849903
"55","seas_sst_temp_change_lag1_scaled",0.0283465805781213,0.458729307847207,6426.68800683236,20.067744964138,4.388787455511e-05,3.15871713185696e-05
"56","seas_sst_temp_change_lag2_scaled",-0.00280240488882868,0.937750015918179,6427.24191848055,20.621656612333,3.32708704133863e-05,2.39458550754356e-05
"57","seas_sst_temp_change_lag3_scaled",0.0176617306945314,0.617460091465972,6426.99141769335,20.371155825128,3.77102765710574e-05,2.71410037190315e-05
"58","seas_sst_temp_change_lag4_scaled",0.0188914593068321,0.612351193394677,6426.98516746876,20.3649056005415,3.78283097573685e-05,2.72259550755299e-05
"59","seas_sst_temp_change_lag5_scaled",-0.0212601203524797,0.554434124033379,6426.89152956477,20.2712676965566,3.96415063575074e-05,2.8530956792369e-05
