temp_variable,sign,trait_variable,AICc,converge
max_sbt_temp_lag1_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3369.823768,TRUE
min_sst_temp_change_lag8_scaled,*,tl_ocean_scaled,3369.828466,TRUE
max_sst_temp_lag5_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3369.866876,TRUE
min_sst_temp_lag9_scaled,*,tl_ocean_scaled + age.max_ocean_scaled,3369.868755,TRUE
min_sst_temp_lag3_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3369.892811,TRUE
seas_sbt_temp_change_abs_lag2_scaled,*,tl_ocean_scaled + age.max_ocean_scaled,3369.895784,TRUE
min_sbt_temp_lag5_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3369.921697,TRUE
seas_sbt_temp_change_abs_lag2_scaled,+,age.max_ocean_scaled + age.maturity_ocean_scaled,3369.976572,TRUE
min_sst_temp_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3369.99016,TRUE
min_sst_temp_lag3_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3370.011047,TRUE
min_sst_temp_lag4_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3370.017624,TRUE
seas_sbt_temp_change_abs_lag2_scaled,*,age.max_ocean_scaled,3370.04266,TRUE
min_sst_temp_lag1_scaled,*,age.max_ocean_scaled,3370.088871,TRUE
min_sbt_temp_lag8_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3370.108757,TRUE
seas_sbt_temp_change_abs_lag2_scaled,+,age.max_ocean_scaled + length.max_ocean_scaled,3370.131564,TRUE
seas_sbt_temp_change_abs_lag2_scaled,+,length.max_ocean_scaled + age.max_ocean_scaled,3370.131564,TRUE
min_sst_temp_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3370.150532,TRUE
min_sst_temp_lag4_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3370.160709,TRUE
min_sst_temp_lag10_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3370.168974,TRUE
min_sst_temp_change_lag8_scaled,*,age.maturity_ocean_scaled + tl_ocean_scaled,3370.203238,TRUE
min_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3370.233115,TRUE
min_sbt_temp_scaled,*,age.max_ocean_scaled,3370.2406,TRUE
min_sst_temp_lag9_scaled,+,age.max_ocean_scaled,3370.244835,TRUE
max_sbt_temp_lag10_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3370.255263,TRUE
max_sbt_temp_lag10_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3370.310037,TRUE
seas_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3370.318936,TRUE
max_sst_temp_lag1_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3370.358505,TRUE
max_sst_temp_lag9_scaled,*,age.max_ocean_scaled,3370.371325,TRUE
min_sst_temp_lag9_scaled,*,length.max_ocean_scaled + tl_ocean_scaled,3370.379633,TRUE
max_sst_temp_lag1_scaled,*,length.max_ocean_scaled,3370.387038,TRUE
