temp_variable,sign,trait_variable,AICc,converge,DeltaAIC
min_sbt_temp_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3702.24576,TRUE,10.249811
max_sst_temp_lag7_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3702.248183,TRUE,10.252234
min_sst_temp_lag1_scaled,*,age.max_ocean_scaled,3702.284645,TRUE,10.288696
seas_sbt_temp_lag2_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3702.331148,TRUE,10.335199
min_sbt_temp_lag9_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3702.442452,TRUE,10.446503
min_sst_temp_lag5_scaled,*,age.max_ocean_scaled,3702.44898,TRUE,10.453031
min_sbt_temp_lag5_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3702.459281,TRUE,10.463332
seas_sbt_temp_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3702.468376,TRUE,10.472427
min_sst_temp_lag3_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3702.487963,TRUE,10.492014
min_sst_temp_lag3_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3702.505655,TRUE,10.509706
seas_sbt_temp_change_abs_lag2_scaled,+,age.max_ocean_scaled,3702.534512,TRUE,10.538563
max_sbt_temp_lag2_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3702.547194,TRUE,10.551245
seas_sbt_temp_lag5_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3702.57568,TRUE,10.579731
min_sst_temp_lag7_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3702.636214,TRUE,10.640265
max_sst_temp_change_abs_lag9_scaled,*,age.max_ocean_scaled,3702.658467,TRUE,10.662518
seas_sbt_temp_lag8_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3702.689635,TRUE,10.693686
min_sst_temp_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3702.704793,TRUE,10.708844
seas_sbt_temp_change_abs_lag5_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3702.744478,TRUE,10.748529
