temp_variable,sign,trait_variable,AICc,converge,DeltaAIC
max_sst_temp_lag2_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3411.316231,TRUE,10.76203029
seas_sbt_temp_lag5_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3411.321045,TRUE,10.76684431
max_sbt_temp_lag10_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3411.328331,TRUE,10.77413067
min_sbt_temp_lag1_scaled,*,age.max_ocean_scaled,3411.359165,TRUE,10.80496487
max_sbt_temp_lag2_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3411.368453,TRUE,10.81425249
max_sbt_temp_lag7_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3411.375819,TRUE,10.82161805
max_sst_temp_lag9_scaled,*,age.max_ocean_scaled,3411.392481,TRUE,10.83828029
max_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3411.422684,TRUE,10.86848308
min_sbt_temp_lag2_scaled,*,age.max_ocean_scaled,3411.4347,TRUE,10.8804999
min_sst_temp_lag5_scaled,*,age.max_ocean_scaled,3411.460796,TRUE,10.90659514
min_sbt_temp_lag9_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3411.463415,TRUE,10.90921425
max_sst_temp_lag3_scaled,*,age.max_ocean_scaled,3411.490536,TRUE,10.93633538
min_sst_temp_lag10_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3411.52583,TRUE,10.97162965
max_sst_temp_lag5_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3411.526184,TRUE,10.97198395
max_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3411.528857,TRUE,10.97465682
max_sst_temp_lag4_scaled,*,age.maturity_ocean_scaled,3411.530543,TRUE,10.97634228
max_sst_temp_lag3_scaled,*,length.max_ocean_scaled + tl_ocean_scaled,3411.538008,TRUE,10.98380732
max_sbt_temp_lag8_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3411.570273,TRUE,11.01607295
max_sst_temp_lag1_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3411.576971,TRUE,11.02277033
max_sst_temp_lag10_scaled,*,age.maturity_ocean_scaled,3411.577787,TRUE,11.02358642
min_sst_temp_lag2_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3411.701618,TRUE,11.14741778
min_sst_temp_lag8_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3411.712243,TRUE,11.15804264
max_sst_temp_lag5_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3411.716834,TRUE,11.16263398
max_sst_temp_lag4_scaled,*,age.maturity_ocean_scaled + tl_ocean_scaled,3411.730535,TRUE,11.17633424
max_sst_temp_scaled,+,age.max_ocean_scaled + age.maturity_ocean_scaled,3411.732881,TRUE,11.17868097
max_sst_temp_lag2_scaled,*,age.maturity_ocean_scaled,3411.781479,TRUE,11.22727899
min_sst_temp_lag9_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3411.784854,TRUE,11.23065393
min_sbt_temp_lag8_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3411.832282,TRUE,11.27808122
min_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3411.871928,TRUE,11.31772774
seas_sbt_temp_lag5_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3411.883024,TRUE,11.32882319
max_sst_temp_lag10_scaled,*,age.maturity_ocean_scaled + tl_ocean_scaled,3411.898305,TRUE,11.34410461
seas_sst_temp_lag3_scaled,+,age.max_ocean_scaled,3411.912812,TRUE,11.35861134
seas_sst_temp_lag3_scaled,+,age.max_ocean_scaled + age.maturity_ocean_scaled,3411.914831,TRUE,11.36063064
min_sbt_temp_lag6_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3411.915996,TRUE,11.36179538
max_sst_temp_scaled,+,age.max_ocean_scaled,3411.978059,TRUE,11.4238582
max_sbt_temp_lag10_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3411.980143,TRUE,11.42594261
max_sst_temp_lag2_scaled,*,age.maturity_ocean_scaled + tl_ocean_scaled,3412.006223,TRUE,11.45202283
max_sst_temp_lag7_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3412.007943,TRUE,11.45374258
max_sbt_temp_lag1_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3412.024694,TRUE,11.47049309
min_sst_temp_lag6_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3412.033132,TRUE,11.47893179
max_sbt_temp_lag9_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3412.036989,TRUE,11.48278815
min_sbt_temp_lag1_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3412.050512,TRUE,11.49631122
max_sbt_temp_lag6_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3412.053921,TRUE,11.49972072
min_sst_temp_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3412.0608,TRUE,11.50659919
min_sbt_temp_lag2_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3412.107945,TRUE,11.55374495
max_sbt_temp_lag7_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3412.11126,TRUE,11.55705996
min_sbt_temp_lag6_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3412.114896,TRUE,11.56069585
max_sst_temp_lag1_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3412.125889,TRUE,11.5716887
min_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3412.135782,TRUE,11.58158185
max_sbt_temp_lag8_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3412.148525,TRUE,11.59432438
min_sbt_temp_lag1_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3412.151705,TRUE,11.59750443
min_sst_temp_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3412.18786,TRUE,11.63365923
max_sst_temp_lag5_scaled,*,age.maturity_ocean_scaled,3412.209266,TRUE,11.65506591
max_sbt_temp_scaled,*,age.max_ocean_scaled,3412.225955,TRUE,11.67175477
min_sbt_temp_lag2_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3412.236704,TRUE,11.68250342
max_sst_temp_lag8_scaled,*,age.maturity_ocean_scaled + length.max_ocean_scaled,3412.268971,TRUE,11.71477024
min_sst_temp_lag4_scaled,*,age.max_ocean_scaled,3412.29717,TRUE,11.74296918
min_sst_temp_lag8_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3412.30095,TRUE,11.74674951
max_sst_temp_lag5_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3412.303113,TRUE,11.74891291
max_sst_temp_lag9_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3412.342662,TRUE,11.78846194
seas_sbt_temp_lag4_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3412.352295,TRUE,11.79809409
min_sst_temp_lag8_scaled,*,length.max_ocean_scaled + age.maturity_ocean_scaled,3412.368992,TRUE,11.81479151
min_sbt_temp_lag10_scaled,*,age.max_ocean_scaled,3412.374674,TRUE,11.82047306
max_sst_temp_lag5_scaled,*,age.maturity_ocean_scaled + tl_ocean_scaled,3412.403846,TRUE,11.84964557
min_sbt_temp_lag9_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3412.406532,TRUE,11.85233138
max_sst_temp_lag4_scaled,*,length.max_ocean_scaled + tl_ocean_scaled,3412.426643,TRUE,11.8724426
max_sst_temp_lag3_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3412.468448,TRUE,11.9142474
min_sst_temp_lag5_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3412.472383,TRUE,11.91818257
min_sbt_temp_lag5_scaled,*,age.max_ocean_scaled,3412.495916,TRUE,11.94171569
min_sbt_temp_lag7_scaled,*,age.max_ocean_scaled,3412.500244,TRUE,11.946044
min_sst_temp_lag5_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3412.511976,TRUE,11.95777516
seas_sst_temp_lag3_scaled,+,age.max_ocean_scaled + tl_ocean_scaled,3412.512984,TRUE,11.95878384
max_sst_temp_lag3_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3412.522091,TRUE,11.9678905
max_sst_temp_lag9_scaled,*,length.max_ocean_scaled,3412.579492,TRUE,12.02529181
seas_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3412.583448,TRUE,12.02924749
max_sbt_temp_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3412.601373,TRUE,12.04717293
max_sst_temp_scaled,+,age.max_ocean_scaled + tl_ocean_scaled,3412.63818,TRUE,12.08397999
max_sst_temp_lag9_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3412.675483,TRUE,12.12128221
max_sbt_temp_lag10_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3412.712087,TRUE,12.157887
seas_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3412.741486,TRUE,12.1872851
seas_sbt_temp_lag4_scaled,*,age.max_ocean_scaled,3412.804998,TRUE,12.25079728
max_sst_temp_lag6_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3412.8345,TRUE,12.28029907
max_sst_temp_lag7_scaled,*,age.maturity_ocean_scaled,3412.865969,TRUE,12.31176875
max_sst_temp_scaled,+,age.maturity_ocean_scaled,3412.875584,TRUE,12.32138336
max_sst_temp_lag4_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3412.884558,TRUE,12.33035736
max_sbt_temp_lag8_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3412.904442,TRUE,12.35024131
min_sst_temp_lag2_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3412.91666,TRUE,12.36245916
