temp_variable,sign,trait_variable,AICc,converge,DeltaAIC
max_sbt_temp_lag2_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3655.241461,TRUE,7.684118978
min_sst_temp_change_lag8_scaled,+,age.max_ocean_scaled + tl_ocean_scaled,3655.251292,TRUE,7.693949592
max_sbt_temp_lag2_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3655.294989,TRUE,7.737647366
max_sbt_temp_lag7_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3655.471631,TRUE,7.914288881
min_sbt_temp_lag10_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3655.496674,TRUE,7.939332212
min_sbt_temp_lag10_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3655.583179,TRUE,8.025837063
max_sst_temp_lag10_scaled,+,age.max_ocean_scaled,3655.665043,TRUE,8.107701154
min_sbt_temp_lag2_scaled,*,age.max_ocean_scaled,3655.677463,TRUE,8.120121266
min_sbt_temp_lag4_scaled,*,age.max_ocean_scaled,3655.711012,TRUE,8.153670037
seas_sst_temp_lag5_scaled,+,age.max_ocean_scaled + age.maturity_ocean_scaled,3655.74211,TRUE,8.184768015
max_sbt_temp_lag1_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3655.755077,TRUE,8.197734708
min_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3655.798382,TRUE,8.241040068
min_sst_temp_lag10_scaled,*,age.max_ocean_scaled,3655.826106,TRUE,8.268763701
max_sst_temp_lag10_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3655.883778,TRUE,8.326436445
min_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3655.896665,TRUE,8.339322956
min_sbt_temp_lag7_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3655.900832,TRUE,8.343489983
min_sbt_temp_lag5_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3655.902144,TRUE,8.344802542
seas_sst_temp_lag5_scaled,*,age.max_ocean_scaled,3655.990387,TRUE,8.433045083
seas_sst_temp_lag5_scaled,+,length.max_ocean_scaled + age.max_ocean_scaled,3655.994931,TRUE,8.437589381
seas_sst_temp_lag5_scaled,+,age.max_ocean_scaled + length.max_ocean_scaled,3655.994931,TRUE,8.437589381
max_sst_temp_lag3_scaled,*,length.max_ocean_scaled + age.maturity_ocean_scaled,3656.043839,TRUE,8.486496889
min_sst_temp_change_lag8_scaled,+,age.max_ocean_scaled + age.maturity_ocean_scaled,3656.071284,TRUE,8.513941793
max_sbt_temp_lag7_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3656.100258,TRUE,8.542915929
min_sst_temp_change_lag8_scaled,*,age.max_ocean_scaled,3656.145442,TRUE,8.588099685
min_sst_temp_change_lag8_scaled,*,tl_ocean_scaled + age.max_ocean_scaled,3656.160352,TRUE,8.603010286
max_sbt_temp_lag7_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3656.163477,TRUE,8.606134697
min_sst_temp_change_lag8_scaled,+,length.max_ocean_scaled + age.max_ocean_scaled,3656.288344,TRUE,8.731001862
min_sst_temp_change_lag8_scaled,+,age.max_ocean_scaled + length.max_ocean_scaled,3656.288344,TRUE,8.731001862
seas_sst_temp_lag5_scaled,*,tl_ocean_scaled + age.max_ocean_scaled,3656.317303,TRUE,8.759961533
min_sbt_temp_lag6_scaled,*,age.max_ocean_scaled,3656.337186,TRUE,8.779844427
min_sbt_temp_lag8_scaled,*,age.max_ocean_scaled,3656.346826,TRUE,8.789484102
max_sbt_temp_lag1_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3656.422255,TRUE,8.86491281
max_sbt_temp_lag1_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3656.467045,TRUE,8.909702854
min_sbt_temp_lag7_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3656.517256,TRUE,8.959914266
min_sbt_temp_lag5_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3656.552944,TRUE,8.995602183
max_sst_temp_lag7_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3656.569183,TRUE,9.011841459
seas_sst_temp_lag8_scaled,+,age.max_ocean_scaled,3656.617661,TRUE,9.060318714
max_sst_temp_lag9_scaled,+,age.max_ocean_scaled,3656.618208,TRUE,9.060866238
min_sbt_temp_lag7_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3656.625674,TRUE,9.068332401
min_sbt_temp_lag5_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3656.64171,TRUE,9.084367975
max_sst_temp_lag7_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3656.875185,TRUE,9.317842838
min_sbt_temp_lag2_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3656.895297,TRUE,9.337955124
max_sst_temp_lag10_scaled,+,age.max_ocean_scaled + tl_ocean_scaled,3656.90576,TRUE,9.348418015
min_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3656.93545,TRUE,9.378108195
seas_sbt_temp_lag3_scaled,*,age.max_ocean_scaled,3656.98226,TRUE,9.424918287
min_sst_temp_lag4_scaled,*,age.max_ocean_scaled,3656.988045,TRUE,9.430703367
max_sst_temp_lag10_scaled,*,length.max_ocean_scaled + age.maturity_ocean_scaled,3657.032931,TRUE,9.475589395
min_sbt_temp_lag1_scaled,*,age.max_ocean_scaled,3657.041807,TRUE,9.484464935
seas_sst_temp_lag5_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3657.079525,TRUE,9.522182649
min_sst_temp_change_lag8_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3657.118047,TRUE,9.560705358
max_sst_temp_lag7_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3657.148803,TRUE,9.591461517
max_sst_temp_lag3_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3657.159236,TRUE,9.601894527
min_sst_temp_lag10_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3657.191811,TRUE,9.634469182
max_sst_temp_lag10_scaled,+,age.max_ocean_scaled + age.maturity_ocean_scaled,3657.228354,TRUE,9.671012417
max_sst_temp_lag2_scaled,*,length.max_ocean_scaled + age.maturity_ocean_scaled,3657.297894,TRUE,9.740552142
max_sst_temp_lag5_scaled,+,age.max_ocean_scaled,3657.301878,TRUE,9.744536222
min_sbt_temp_lag8_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3657.546385,TRUE,9.989043003
min_sbt_temp_lag6_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3657.556474,TRUE,9.99913236
min_sst_temp_lag7_scaled,*,age.max_ocean_scaled,3657.594666,TRUE,10.03732367
min_sbt_temp_lag2_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3657.614187,TRUE,10.05684517
seas_sbt_temp_lag8_scaled,*,age.max_ocean_scaled,3657.620268,TRUE,10.06292592
min_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3657.635796,TRUE,10.07845419
min_sst_temp_lag9_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3657.657885,TRUE,10.10054319
max_sst_temp_lag10_scaled,+,length.max_ocean_scaled + age.max_ocean_scaled,3657.671561,TRUE,10.11421947
max_sst_temp_lag10_scaled,+,age.max_ocean_scaled + length.max_ocean_scaled,3657.671561,TRUE,10.11421947
min_sbt_temp_lag2_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3657.679025,TRUE,10.12168344
max_sbt_temp_lag6_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3657.679476,TRUE,10.1221341
seas_sst_temp_lag8_scaled,+,age.max_ocean_scaled + tl_ocean_scaled,3657.695195,TRUE,10.13785289
min_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3657.710888,TRUE,10.1535463
seas_sst_temp_lag5_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3657.711232,TRUE,10.15389025
max_sst_temp_lag3_scaled,+,age.max_ocean_scaled,3657.725301,TRUE,10.16795935
seas_sst_temp_lag5_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3657.752556,TRUE,10.19521405
max_sst_temp_lag3_scaled,*,length.max_ocean_scaled,3657.803253,TRUE,10.24591101
min_sst_temp_lag10_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3657.808101,TRUE,10.25075871
min_sst_temp_lag10_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3657.813017,TRUE,10.25567532
max_sst_temp_lag5_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3657.824714,TRUE,10.26737223
max_sst_temp_lag9_scaled,+,age.max_ocean_scaled + tl_ocean_scaled,3657.855972,TRUE,10.29863014
min_sbt_temp_scaled,*,age.max_ocean_scaled,3657.893046,TRUE,10.33570452
max_sst_temp_lag6_scaled,*,length.max_ocean_scaled + age.maturity_ocean_scaled,3657.920909,TRUE,10.36356701
min_sst_temp_change_lag8_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3657.940389,TRUE,10.38304675
min_sst_temp_change_lag8_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3657.953059,TRUE,10.39571751
seas_sst_temp_lag5_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3657.975055,TRUE,10.41771313
seas_sst_temp_lag8_scaled,*,tl_ocean_scaled + age.max_ocean_scaled,3657.987956,TRUE,10.43061376
min_sst_temp_lag2_scaled,*,age.max_ocean_scaled,3657.994992,TRUE,10.43764996
seas_sst_temp_lag5_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3657.997004,TRUE,10.43966238
seas_sst_temp_lag2_scaled,+,age.max_ocean_scaled,3658.058999,TRUE,10.50165673
seas_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3658.085587,TRUE,10.52824507
min_sst_temp_change_lag8_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3658.100508,TRUE,10.54316634
min_sst_temp_change_lag8_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3658.151481,TRUE,10.59413922
max_sst_temp_lag9_scaled,+,age.max_ocean_scaled + age.maturity_ocean_scaled,3658.181634,TRUE,10.62429168
min_sbt_temp_lag6_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3658.256291,TRUE,10.698949
seas_sbt_temp_lag6_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3658.257578,TRUE,10.70023578
min_sbt_temp_lag1_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3658.269152,TRUE,10.71181046
min_sst_temp_lag3_scaled,*,age.max_ocean_scaled,3658.275244,TRUE,10.71790167
min_sbt_temp_lag8_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3658.277522,TRUE,10.72018012
min_sst_temp_lag4_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3658.32256,TRUE,10.76521818
min_sbt_temp_lag6_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3658.336148,TRUE,10.77880564
min_sbt_temp_lag8_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3658.342741,TRUE,10.78539919
seas_sst_temp_lag8_scaled,+,age.max_ocean_scaled + age.maturity_ocean_scaled,3658.373244,TRUE,10.8159017
max_sbt_temp_lag4_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3658.434573,TRUE,10.87723078
max_sst_temp_lag10_scaled,*,tl_ocean_scaled + age.max_ocean_scaled,3658.44173,TRUE,10.88438808
