variable,coef,p_value,conditional_R2,marginal_R2,AICc,deltaAICc,rel_likelihood,akaike_weight
seas_sst_temp_change_lag6_scaled,-0.0708780422718024,0.0581888380452856,0.154399752085612,0.00037790301667225,5611.04429357471,15.4758982320427,0.000435964772010189,0.000330207038890548
seas_sst_temp_change_lag7_scaled,0.0976906397237856,0.0091838150083438,0.155317383215248,0.000683993771794805,5607.62224242887,12.0538470862011,0.00241290577235277,0.00182757534866119
seas_sst_temp_change_lag8_scaled,-0.0856804228938163,0.0192270688853467,0.157459151518899,0.000557931425419749,5608.97094369408,13.402548351406,0.00122934450341762,0.000931126169617247
seas_sst_temp_change_lag9_scaled,0.0782604413982216,0.0463326756359247,0.153306728872946,0.000404740076353497,5610.53502690014,14.9666315574668,0.000562389561241109,0.000425963297135487
max_sst_temp_change_abs_scaled,0.146326439349381,0.000539206995747981,0.157937169248965,0.00127905819454753,5602.61133727882,7.04294193614805,0.0295559273509007,0.0223861556685066
min_sst_temp_change_abs_scaled,0.0455101766727994,0.250916072066263,0.155987206246247,0.000154038412316844,5613.28025792512,17.7118625824533,0.000142533814563006,0.000107957504528657
seas_sst_temp_change_abs_scaled,0.0698538071273036,0.0513923742387001,0.155159636711858,0.000365990636004119,5610.76233886113,15.1939435184577,0.000501969217823748,0.000380199914473618
max_sst_temp_change_abs_lag1_scaled,-0.0676596421049672,0.183341947776387,0.155917874636577,0.000212013172900793,5612.68548273344,17.1170873907668,0.000191898552996409,0.000145347186333772
max_sst_temp_change_abs_lag2_scaled,-0.0185431726845488,0.609024088426177,0.157366678703221,2.55480664163994e-05,5614.32158306554,18.753187722863,8.4683154411285e-05,6.4140443121418e-05
max_sst_temp_change_abs_lag3_scaled,0.0265042543848928,0.450740088653091,0.154491477442304,5.11518932948111e-05,5613.93946627683,18.3710709341567,0.000102511510607779,7.76439394722483e-05
max_sst_temp_change_abs_lag4_scaled,-0.0276217454132398,0.466256640395127,0.155514857366923,5.19711393097131e-05,5613.9623644541,18.3939691114301,0.000101344540356803,7.67600566087975e-05
max_sst_temp_change_abs_lag5_scaled,-0.0284078044338122,0.438270087074605,0.159341270475451,6.12230957678586e-05,5613.95917245581,18.3907771131389,0.000101506415298396,7.68826634077084e-05
max_sst_temp_change_abs_lag6_scaled,-0.0414272349034687,0.287466519457023,0.156938999586203,0.00011923320871489,5613.34667345516,17.7782781124906,0.000137878312368821,0.000104431348993194
max_sst_temp_change_abs_lag7_scaled,-0.00526270744551949,0.886574596472106,0.158311337944475,2.03228001035527e-06,5614.62021995615,19.0518246134743,7.29371601981329e-05,5.52438298696945e-05
max_sst_temp_change_abs_lag8_scaled,0.0801092763713564,0.0173507269027096,0.15908771038883,0.000486446119132339,5609.08082166583,13.5124263231564,0.00116362730973904,0.000881350863624651
max_sst_temp_change_abs_lag9_scaled,-0.0719525141647031,0.143042378034545,0.158870863101101,0.000233094826474059,5612.43904753923,16.8706521965605,0.000217062310977656,0.00016440663916991
min_sst_temp_change_abs_lag1_scaled,-0.0468791976280037,0.238597727682706,0.154395783141874,0.000162813032367377,5613.11682870438,17.5484333617105,0.00015467000959866,0.000117149662435461
min_sst_temp_change_abs_lag2_scaled,0.0410719478663184,0.314779289090761,0.158141454223584,0.000121313917619393,5613.60494975331,18.0365544106344,0.000121174705656061,9.17797567877489e-05
min_sst_temp_change_abs_lag3_scaled,-0.0309471408823062,0.456963833568086,0.15210831633893,6.92045030079706e-05,5614.00644762165,18.4380522789797,9.91351844788949e-05,7.50866533681283e-05
min_sst_temp_change_abs_lag4_scaled,-0.00790143845063539,0.855612768824831,0.156105243323789,4.19034586761173e-06,5614.46389577388,18.8955004312129,7.88667991218974e-05,5.97350379590046e-05
min_sst_temp_change_abs_lag5_scaled,-0.0322116772613983,0.442399326088337,0.153855697373416,7.5108353921133e-05,5613.98637281724,18.417977474568,0.000100135254856203,7.58441234647381e-05
min_sst_temp_change_abs_lag6_scaled,0.0222876114253284,0.600608797783091,0.156576640372696,3.63323236592055e-05,5614.65837948904,19.089984146367,7.15587281139004e-05,5.41997822629408e-05
min_sst_temp_change_abs_lag7_scaled,-0.0935330553458729,0.0316369632123132,0.153349428862581,0.000638708352251252,5609.90596173887,14.3375663961997,0.000770259414351621,0.000583407414360242
min_sst_temp_change_abs_lag8_scaled,-0.0321340241959188,0.443888779402731,0.153781405183939,7.6251693273831e-05,5613.91265297977,18.3442576370944,0.000103895100327837,7.86918935589814e-05
min_sst_temp_change_abs_lag9_scaled,0.00167652589374483,0.968455158649981,0.156074314061001,2.06242507578428e-07,5614.52321500001,18.9548196573405,7.65619892191935e-05,5.7989336237124e-05
seas_sst_temp_change_abs_lag1_scaled,-0.038748298007567,0.356848191860375,0.156796556175026,9.1331055771951e-05,5613.65345109824,18.0850557555632,0.000118271482395968,8.95808067406311e-05
seas_sst_temp_change_abs_lag2_scaled,-0.0794891083616865,0.0354117120865978,0.156393655104986,0.000478868231060298,5609.93318243923,14.3647870965569,0.000759846933484247,0.000575520826508506
seas_sst_temp_change_abs_lag3_scaled,0.0269198108823025,0.452299639818669,0.156024954824737,5.44420893436374e-05,5613.9614382005,18.3930428578315,0.000101391486599601,7.67956144813975e-05
seas_sst_temp_change_abs_lag4_scaled,-0.0484277876868722,0.230234803718653,0.153029919059098,0.000155182221163866,5613.01854119343,17.4501458507593,0.000162460944701441,0.000123050647505001
seas_sst_temp_change_abs_lag5_scaled,-0.0153542331578405,0.675753459302255,0.15642478475682,1.77721398831484e-05,5614.35159499562,18.7831996529512,8.34218888770755e-05,6.3185139427072e-05
seas_sst_temp_change_abs_lag6_scaled,-0.0227769926715932,0.537236371778783,0.156590460155688,4.0044271227061e-05,5614.1143240267,18.5459286840305,9.39296610957792e-05,7.11439025484038e-05
seas_sst_temp_change_abs_lag7_scaled,0.027126949779868,0.467305331293771,0.155343224929874,5.31856979183833e-05,5614.05460094325,18.4862056005795,9.67768446662559e-05,7.33004071936071e-05
seas_sst_temp_change_abs_lag8_scaled,0.0356022086835875,0.324166575565567,0.155689245659129,9.82244542814386e-05,5613.52372473384,17.9553293911658,0.000126197212559794,9.55838878528395e-05
seas_sst_temp_change_abs_lag9_scaled,0.0359309675614861,0.372614224547536,0.156705186670392,7.94346900220608e-05,5613.75151802323,18.1831226805562,0.000112612105373681,8.52942995536447e-05
max_sbt_temp_scaled,-0.154866023235973,0.449629206607776,0.153157512583356,0.00176121019048315,5614.00444217107,18.4360468284021,9.92346396901763e-05,7.51619824151704e-05
min_sbt_temp_scaled,-0.00898672869063103,0.96515700077586,0.15514759435852,6.17969100359384e-06,5614.49586162499,18.9274662823136,7.76162969054101e-05,5.87878865822354e-05
seas_sbt_temp_scaled,-0.167987922273095,0.253185089638201,0.15536595281355,0.0018835786712757,5613.3005376154,17.7321422727237,0.000141095846464268,0.000106868363344808
max_sbt_temp_lag1_scaled,-0.330827469691583,0.116407413571332,0.160486522508528,0.00794319354857716,5612.11883627445,16.55044093178,0.000254751890244733,0.000192953359377205
max_sbt_temp_lag2_scaled,-0.270097338985016,0.185391386716782,0.155947925445918,0.0052988020635974,5612.87896970861,17.310574365938,0.00017420336393497,0.000131944553007128
