variable,coef,p_value,AICc,deltaAICc,rel_likelihood,akaike_weight
seas_sst_temp_lag1_scaled,-0.238605197302999,0.0435574405821013,5667.2964574544,17.4490158138551,0.00016255276407032,8.49252364235869e-05
seas_sst_temp_lag2_scaled,-0.0458986677006562,0.661105199760814,5669.84989679363,20.0024551530833,4.53442320673035e-05,2.36899670749115e-05
seas_sst_temp_lag3_scaled,-0.0120475527392684,0.900288429547477,5669.99193103339,20.1444893928474,4.22357011220713e-05,2.20659237867907e-05
seas_sst_temp_lag4_scaled,-0.188381469075568,0.0438462039989533,5666.36978934311,16.5223477025647,0.000258355542170396,0.000134977129584048
seas_sst_temp_lag5_scaled,-0.208040633778992,0.0257300950020735,5665.35767284777,15.5102312072277,0.000428544659017012,0.000223891957133014
seas_sst_temp_lag6_scaled,-0.0265911026264991,0.756684144752918,5669.92253351291,20.075091872367,4.3726950216798e-05,2.28450227006753e-05
seas_sst_temp_lag7_scaled,0.108952030779988,0.191928016570584,5668.28751163446,18.4400699939188,9.90352216401484e-05,5.17406742367882e-05
seas_sst_temp_lag8_scaled,-0.0731877370742612,0.355367853162195,5669.20720846529,19.3597668247457,6.25287934335235e-05,3.26679930421016e-05
seas_sst_temp_lag9_scaled,0.0724530599808695,0.360237372735335,5669.14240764988,19.2949660093336,6.4587930133783e-05,3.37437832453514e-05
seas_sst_temp_lag10_scaled,0.00628799847369725,0.931326140598205,5669.98834061538,20.1408989748325,4.23115911319957e-05,2.21055723099756e-05
max_sst_temp_change_scaled,-0.0065712747816777,0.869604798274808,5669.97181347372,20.1243718331734,4.26626846072117e-05,2.22890001130033e-05
min_sst_temp_change_scaled,0.102133725985935,0.00693239781422771,5662.62156353575,12.774121895206,0.00168319593981995,0.000879381005632069
seas_sst_temp_change_scaled,-0.0820956725638251,0.0290314321500395,5665.45654604769,15.6091044071427,0.000407874020888853,0.000213092640122933
max_sst_temp_change_lag1_scaled,-0.0834480272938035,0.0264231165395912,5664.89274944983,15.0453078092887,0.000540695705200166,0.000282484957176598
max_sst_temp_change_lag2_scaled,-0.00147771982093011,0.967362730439267,5670.07839378528,20.2309521447341,4.04486992335648e-05,2.1132309653935e-05
max_sst_temp_change_lag3_scaled,0.0329675570692684,0.363931969393404,5669.16339324477,19.3159516042306,6.39137651887648e-05,3.33915676575598e-05
max_sst_temp_change_lag4_scaled,0.0292234166008846,0.426750520304767,5669.55591774537,19.7084761048236,5.2524120676955e-05,2.74410797745755e-05
max_sst_temp_change_lag5_scaled,-0.0178537308504103,0.620474795385468,5669.74970257108,19.9022609305384,4.7673709989572e-05,2.49069962926158e-05
max_sst_temp_change_lag6_scaled,-0.0322072916371966,0.387441792104704,5669.23429302068,19.3868513801317,6.16877190344864e-05,3.22285760774221e-05
max_sst_temp_change_lag7_scaled,0.0515862229192077,0.152256423280501,5667.92303805472,18.0755964141799,0.000118832192501742,6.20835462298129e-05
max_sst_temp_change_lag8_scaled,-0.00174263691586272,0.961293904934827,5670.54096522755,20.6935235870033,3.20965569565498e-05,1.67687563081913e-05
max_sst_temp_change_lag9_scaled,-0.0267069208309519,0.47968398345383,5669.48398908867,19.6365474481281,5.4447494514828e-05,2.84459410505218e-05
min_sst_temp_change_lag1_scaled,-0.0257315855807028,0.495574002169671,5669.52510945942,19.6776678188808,5.33394735245313e-05,2.78670585867174e-05
min_sst_temp_change_lag2_scaled,0.0113180873815302,0.767028783519492,5669.90972095124,20.0622793106968,4.40079765456223e-05,2.2991844119266e-05
min_sst_temp_change_lag3_scaled,-0.0562147292758697,0.141588407023028,5667.78984888659,17.9424072460442,0.000127015221669541,6.63587469051816e-05
min_sst_temp_change_lag4_scaled,0.0195286313929839,0.613257287973558,5669.73963445077,19.8921928102209,4.79143073964651e-05,2.50326957341489e-05
min_sst_temp_change_lag5_scaled,0.0647575027560807,0.0850017608970002,5666.9769169969,17.1294753563543,0.000190713610207024,9.96377916343565e-05
